year,race,gestational_age_group,births,deaths,mortality_rate,birth_proportion
2018,Non-Hispanic Black,37-38 weeks,159315,660,4.142736088880519,0.28999106263617647
2018,Non-Hispanic Black,39-41 weeks,272129,840,3.0867713474124403,0.49533928308144287
2018,Non-Hispanic Black,42+ weeks,25591,101,3.946700011722871,0.04658168586713362
2018,Non-Hispanic White,<28 weeks,8374,3248,387.86720802483876,0.004295253268116336
2018,Non-Hispanic White,28-31 weeks,15841,697,43.99974749068872,0.00812528146885967
2018,Non-Hispanic White,32-33 weeks,24344,408,16.75977653631285,0.012486702359568197
2018,Non-Hispanic White,34-36 weeks,147279,1064,7.224383652795035,0.07554342083531237
2018,Non-Hispanic White,37-38 weeks,472331,1356,2.870868098854405,0.24227146780304
2018,Non-Hispanic White,39-41 weeks,1179175,1831,1.5527805457205248,0.604831057132921
2018,Non-Hispanic White,42+ weeks,102250,251,2.454767726161369,0.05244681713218239
2019,Non-Hispanic Black,<28 weeks,8256,2933,355.2567829457364,0.015140234218836535
2019,Non-Hispanic Black,28-31 weeks,10172,413,40.60165159260716,0.018653883536095595
2019,Non-Hispanic Black,32-33 weeks,12774,209,16.36135901049006,0.023425551345859726
2019,Non-Hispanic Black,34-36 weeks,62527,542,8.668255313704481,0.11466490128405911
2019,Non-Hispanic Black,37-38 weeks,160924,686,4.262881857274242,0.2951098657257813
2019,Non-Hispanic Black,39-41 weeks,265799,801,3.0135553557387347,0.4874344858445412
2019,Non-Hispanic Black,42+ weeks,24850,101,4.064386317907445,0.04557107804482654
2019,Non-Hispanic White,<28 weeks,8285,3088,372.7217863608932,0.004340343717503085
2019,Non-Hispanic White,28-31 weeks,15688,676,43.090260071392144,0.008218625496703486
2019,Non-Hispanic White,32-33 weeks,23956,363,15.152780096844214,0.01255006325847965
2019,Non-Hispanic White,34-36 weeks,148964,1021,6.854004994495314,0.07803922287678086
2019,Non-Hispanic White,37-38 weeks,476814,1343,2.8166119283410302,0.24979319846922338
2019,Non-Hispanic White,39-41 weeks,1137429,1686,1.482290323176216,0.5958760186186862
2019,Non-Hispanic White,42+ weeks,97699,217,2.221107687898545,0.05118252756262327
2020,Non-Hispanic Black,<28 weeks,7667,2681,349.6804486761445,0.014547393346944042
2020,Non-Hispanic Black,28-31 weeks,9349,388,41.501764894641134,0.017738826190241273
2020,Non-Hispanic Black,32-33 weeks,12238,199,16.26082693250531,0.023220425170197102
2020,Non-Hispanic Black,34-36 weeks,60354,501,8.301023958644,0.11451589644730151
2020,Non-Hispanic Black,37-38 weeks,157931,723,4.577948597805371,0.29965884683399235
